CLAVE,PSS/E,ID,SCL,FP,FEO,GCR,REGION,ZONA PDS,NOMBRE SUBESTACION,NODO,V1/V21/,NB / RMU2/,CAPACIDAD3/,NC4/
OCCIDENTAL1,31514,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,JABIL CIRCUIT DE MEXICO S DE RL DE CV,JBL-69,69,441971211012,6.5,
OCCIDENTAL2,31521,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,NYPRO KANAAK GUAD SA DE CV,NKA-69,69,441000507993,2.478,
OCCIDENTAL3,31522,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,PARQUE DE TECNOLOGIA ELEC SA DE CV,PTE-69,69,432990304006,15.5,
OCCIDENTAL4,31717,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),RAE-69,69,506140207323,9.736,
OCCIDENTAL5,31525,I1,0,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,UNIVERSIDAD AUTONOMA DE GUADALAJARA,UAG-69,69,504961204346,1.7,
OCCIDENTAL6,36141,OC,0,1,2019,OCC,JAL,METROPOLITANA HIDALGO,"EGISMEX, S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA)",L3Z-230,230,45402180716STE890114031CCA,16.2,
OCCIDENTAL7,31515,AM,1,0.95,2025,OCC,JAL,METROPOLITANA HIDALGO,AMORTIGUAMIENTO OC,MOJ-69,69/69,,11,
OCCIDENTAL8,313752,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZAPOPAN,ZPA-230,230/23,2,60,5
OCCIDENTAL9,313753,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZAPOPAN,ZPA-230,230/23,3,60,5
OCCIDENTAL10,317771,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,GUADALAJARA NORTE,GUN-230,230/23,1,60,7
OCCIDENTAL11,315771,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,TUZANIA,TUZ-230,230/23,1,60,8
OCCIDENTAL12,3114,OC,1,0.95,2021,OCC,JAL,METROPOLITANA HIDALGO,TUZANIA,TUZ-230,230/23,2,60,
OCCIDENTAL13,315271,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,1,40,9
OCCIDENTAL14,315272,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,2,40,9
OCCIDENTAL15,315271,OC,1,0.95,2025,OCC,JAL,METROPOLITANA HIDALGO,ZOQUIPAN,ZQP-69,69/23,3,40,
OCCIDENTAL16,315031,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ALAMEDA,ALA-69,69/23,1,40,5
OCCIDENTAL17,315032,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ALAMEDA,ALA-69,69/23,2,40,5
OCCIDENTAL18,315151,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MOJONERA,MOJ-69,69/23,1,40,9
OCCIDENTAL19,315152,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MOJONERA,MOJ-69,69/23,2,40,9
OCCIDENTAL20,315181,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MEXICO,MXJ-69,69/23,1,40,10
OCCIDENTAL21,315182,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,MEXICO,MXJ-69,69/23,2,40,10
OCCIDENTAL22,315091,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,EXPERIENCIA,EXP-69,69/23,1,40,4
OCCIDENTAL23,315092,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,EXPERIENCIA,EXP-69,69/23,2,40,9
OCCIDENTAL24,315231,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,PINAR,PNR-69,69/23,1,40,6
OCCIDENTAL25,3093,OC,1,0.95,2020,OCC,JAL,METROPOLITANA HIDALGO,PINAR,PNR-69,69/23,2,40,
OCCIDENTAL26,315001,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ACUEDUCTO,ACU-69,69/23,1,40,6
OCCIDENTAL27,315002,1,1,0.95,2019,OCC,JAL,METROPOLITANA HIDALGO,ACUEDUCTO,ACU-69,69/23,2,40,6
OCCIDENTAL28,315331,1,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,1,30,7
OCCIDENTAL29,,OC,1,0.95,2034,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,1,40,
OCCIDENTAL30,315331,2,1,0.95,2018,OCC,JAL,METROPOLITANA HIDALGO,ANDARES,ADS-69,69/23,2,30,7
OCCIDENTAL31,0,OC,1,0.95,2037,OCC,JAL,METROPOLITANA HIDALGO,AMERICAS,AMS-69,69/23,1,40,
OCCIDENTAL32,0,OC,1,0.95,#N/D,OCC,JAL,METROPOLITANA HIDALGO,MIRASIERRA,MSR-230,230/23,1,60,
OCCIDENTAL33,31465,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,UVM EDUCACION SC,UVM-69,69,435140311347,1.5,
OCCIDENTAL34,31508,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PACTIV FOODSERVICE MEX S DE RL DE CV (JAGUAR),CBO-69,69,504900200569,10.14,
OCCIDENTAL35,31430,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FLEXTRONICS TECHNOLOGIES S DE RL DE CV,SLT-69,69,435000405236,10,
OCCIDENTAL36,31313,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CEMEX MEXICO SA DE CV (GUADALAJARA),CMX-69,69,443961202476,25,
OCCIDENTAL37,31342,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PRAXAIR MEXICO S DE RL DE CV,PRA-69,69,443961202492,13,
OCCIDENTAL38,31462,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,MOTFOUR SAPI DE CV(KODAK),KDK-69,69,444961208471,12.166,
OCCIDENTAL39,31308,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,ALMIDONES MEXICANOS SA DE CV,AMX-69,69,443100401559,13.573,
OCCIDENTAL40,31341,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CERVECERIA MODELO GUAD S DE RL DE CV,MOD-69,69,438990304586,8.1,
OCCIDENTAL41,31526,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,VITRO VIGUSA S. R. L. DE C.V. (VIDRIERA GUADALAJARA SA DE CV),VID-69,69,504050906157,8.781,
OCCIDENTAL42,31461,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PM CIGATAM PS S DE RL DE CV,CIG-69,69,444990806166,4.398,
OCCIDENTAL43,31429,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,SIEMENS SA DE CV,SIE-69,69,435010104005,2.12,
OCCIDENTAL44,31417,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,PROD FARMACEUTICOS COLLINS SA DE CV,CNS-69,69,435030501477,3.012,
OCCIDENTAL45,31464,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FIDEICOMISO F/00291,SIS-69,69,435120605212,0.5,
OCCIDENTAL46,31460,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,TECHNICOLOR MEXICANA S DE RL DE CV,TNI-69,69,444030310468,13.5,
OCCIDENTAL47,31466,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,BELTICOS SA DE CV 684-1260,BEL-69,69,444910405743,3.65,
OCCIDENTAL48,31361,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,ACEITES GRASAS Y DERIVADOS SA DE CV (AGYDSA),AGY-69,69,504091205031,8.528,
OCCIDENTAL49,31465,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CONTINENTAL AUTOMOTIVE SA DE CV (PERIFERICO),CAU-69,69,435120605239,3.93,
OCCIDENTAL50,31429,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FERRO PIEZAS ALANISA SA DE CV,FPA-69,69,435090503681,3.1,
OCCIDENTAL51,31466,I2,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LIQUIMEX SA DE CV (GUADALAJARA),LIQ-69,69,444111103416,2.235,
OCCIDENTAL52,31332,I1,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LABORATORIOS PISA SA DE CV,PIS-69,69,44940150901LPI830527014CC,7.56,
OCCIDENTAL53,31429,I3,0,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,CONTINENTAL AUTOMOTIVE SA DE CV (TIJERA),CAM-69,69,4.35091E+11,5.77,
OCCIDENTAL54,31362,AM,1,0.95,2025,OCC,JAL,METROPOLITANA JUAREZ,AMORTIGUAMIENTO OC,NHE-69,69/69,,11,
OCCIDENTAL55,31451,AM,1,0.95,2025,OCC,JAL,METROPOLITANA JUAREZ,AMORTIGUAMIENTO OC,SOL-69,69/69,,11,
OCCIDENTAL56,315701,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,NINOS HEROES,NHE-230,230/23,1,60,15
OCCIDENTAL57,315702,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,NINOS HEROES,NHE-230,230/23,2,60,15
OCCIDENTAL58,313723,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,GUADALAJARA I,GDU-230,230/23,1,60,7
OCCIDENTAL59,313741,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,COLON,CLN-230,230/23,1,60,8
OCCIDENTAL60,313742,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,COLON,CLN-230,230/23,2,60,8
OCCIDENTAL61,3066,OC,1,0.95,2021,OCC,JAL,METROPOLITANA JUAREZ,BAJIO (ANTES PRIMAVERA),PMV-230,230/23,1,60,
OCCIDENTAL62,313281,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,FRESNO,FRE-69,69/23,2,40,8
OCCIDENTAL63,313351,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LAS PINTAS,LPS-69,69/23,1,40,5
OCCIDENTAL64,313352,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,LAS PINTAS,LPS-69,69/23,2,40,5
OCCIDENTAL65,313311,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,HIGUERILLAS,HIG-69,69/23,1,40,7
OCCIDENTAL66,313312,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,HIGUERILLAS,HIG-69,69/23,2,40,7
OCCIDENTAL67,313381,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,MIRAVALLE,MIL-69,69/23,1,40,4
OCCIDENTAL68,0,x,0,1,2018,OCC,JAL,METROPOLITANA JUAREZ,MIRAVALLE,MIL-69,69/23,2,25,4
OCCIDENTAL69,313382,1,1,0.95,2020,OCC,JAL,METROPOLITANA JUAREZ,MIRAVALLE,MIL-69,69/23,2,30,4
OCCIDENTAL70,314501,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,EL SOL,SOL-69,69/23,1,40,15
OCCIDENTAL71,314502,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,EL SOL,SOL-69,69/23,2,40,15
OCCIDENTAL72,314513,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,EL SOL,SOL-69,69/23,3,40,15
OCCIDENTAL73,314401,2,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,SAN AGUSTIN,SAG-69,69/23,2,40,6
OCCIDENTAL74,314401,1,1,0.95,2020,OCC,JAL,METROPOLITANA JUAREZ,SAN AGUSTIN,SAG-69,69/23,1,25,
OCCIDENTAL75,,OC,1,0.95,2021,OCC,JAL,METROPOLITANA JUAREZ,SAN AGUSTIN,SAG-69,69/23,1,40,
OCCIDENTAL76,314261,1,1,0.95,2018,OCC,JAL,METROPOLITANA JUAREZ,BUGAMBILIAS,BUG-69,69/23,1,40,5
OCCIDENTAL77,314261,OC,1,1,2036,OCC,JAL,METROPOLITANA JUAREZ,BUGAMBILIAS,BUG-69,69/23,2,40,
OCCIDENTAL78,3116,OC,1,0.95,2026,OCC,JAL,METROPOLITANA JUAREZ,LOMAS,LMS-69,69/23,1,40,
OCCIDENTAL79,0,OC,1,0.95,#N/D,OCC,JAL,METROPOLITANA JUAREZ,LOMAS,LMS-69,69/23,2,40,
OCCIDENTAL80,3047,OC,1,0.95,2037,OCC,JAL,METROPOLITANA JUAREZ,CIUDADELA,CDL-69,69/23,1,40,
OCCIDENTAL81,36143,OC,0,0.95,2019,OCC,JAL,METROPOLITANA LIBERTAD,"EGISMEX, S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO SAN MARTIN)",L3T-230,230,45402180716STE890114031CCA,10.8,
OCCIDENTAL82,31710,I1,0,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,SITEUR LINEA DOS DEL TREN,TLD-69,69,440961204054,8.5,
OCCIDENTAL83,31711,I1,0,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,U SCINT IND MEXICO SA DE CV,USI-69,69,505010103597,2,
OCCIDENTAL84,317061,1,1,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,HUENTITAN,HUN-69,69/23,1,40,10
OCCIDENTAL85,317062,1,1,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,HUENTITAN,HUN-69,69/23,2,40,10
OCCIDENTAL86,317091,1,1,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,PENAL,PNL-69,69/23,1,40,5
OCCIDENTAL87,317092,1,1,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,PENAL,PNL-69,69/23,2,40,5
OCCIDENTAL88,317181,1,1,0.95,2018,OCC,JAL,METROPOLITANA LIBERTAD,OBLATOS,OBL-69,69/23,1,40,5
OCCIDENTAL89,31870,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,CIA SIDERURGICA DE GUAD SA DE CV,CSG-161,161,436961205380,45,
OCCIDENTAL90,31801,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,BEMIS PACKAGING MEXICO  MEXICO SA DE CV (ALKAN),ALK-69,69,507050303982,3.5,
OCCIDENTAL91,31817,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,SANMINA-SCI SYSTEMS MEX SA DE CV,SCR-69,69,507031000421,3.55,
OCCIDENTAL92,31818,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,SIAPA PLANTA 2,STO-69,69,501961203294,8.489,
OCCIDENTAL93,31463,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,SIAPA TOLUQUILLA,SPB-69,69,501961203308,9,
OCCIDENTAL94,31813,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,MINSA SA DE CV,MIN-69,69,507961205937,3.551,
OCCIDENTAL95,31811,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,LECHERA GUADALAJARA SA DE CV,LEC-69,69,436961205738,8.3,
OCCIDENTAL96,31809,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,IBM DE MEXICO S DE RL DE CV,IBM-69,69,507961205911,13.5,
OCCIDENTAL97,31803,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,ENVASES UNIV DE MEX SAPI DE C.V. ,ENV-69,69,507120603661,10,
OCCIDENTAL98,31802,I1,0,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,VINITECK SA DE CV,VIN-69,69,5.07121E+11,1.709,
OCCIDENTAL99,31816,AM,1,0.95,2025,OCC,JAL,METROPOLITANA REFORMA,AMORTIGUAMIENTO OC,PQI-69,69/69,,11,
OCCIDENTAL100,317781,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,GUADALAJARA INDUSTRIAL,GUI-230,230/23,1,60,8
OCCIDENTAL101,317702,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,ALAMOS,ALS-230,230/23,2,60,16
OCCIDENTAL102,317703,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,ALAMOS,ALS-230,230/23,3,60,16
OCCIDENTAL103,318711,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,AGUA AZUL,AGZ-230,230/23,1,60,6
OCCIDENTAL104,318712,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,AGUA AZUL,AGZ-230,230/23,2,60,6
OCCIDENTAL105,317751,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,SAN MARTIN,SMR-230,230/23,1,60,8
OCCIDENTAL106,3021,OC,1,0.95,2038,OCC,JAL,METROPOLITANA REFORMA,SAN MARTIN,SMR-230,230/23,2,60,
OCCIDENTAL107,,OC,1,0.95,2025,OCC,JAL,METROPOLITANA REFORMA,TATEPOSCO,TPS-230,230/23,1,60,
OCCIDENTAL108,317031,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,SAN GASPAR,GPR-69,69/23,1,40,2
OCCIDENTAL109,318211,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,ZALATITAN,ZLT-69,69/23,1,40,4
OCCIDENTAL110,318212,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,ZALATITAN,ZLT-69,69/23,2,40,4
OCCIDENTAL111,318161,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,PARQUE INDUSTRIAL,PQI-69,69/23,1,40,8
OCCIDENTAL112,318162,1,1,0.95,2018,OCC,JAL,METROPOLITANA REFORMA,PARQUE INDUSTRIAL,PQI-69,69/23,2,40,8
OCCIDENTAL113,3037,OC,1,0.95,2023,OCC,JAL,METROPOLITANA REFORMA,ZAPOTE,ZPT-69,69/23,1,40,
OCCIDENTAL114,30702,I1,0,0.95,2018,OCC,JAL,CIENEGA,GRUPO CELANESE S DE RL DE CV,CEE-115,115,454001100255,17.116,
OCCIDENTAL115,30720,I1,0,0.95,2018,OCC,JAL,CIENEGA,EFFEM MEX INC Y CIA SENC DE CV,EFF-115,115,457070100568,3.1,
OCCIDENTAL116,30710,I1,0,0.95,2018,OCC,JAL,CIENEGA,HUNTSMAN INTERNACIONAL DE MEXICO,HMA-115,115,457970600019,5.278,
OCCIDENTAL117,30706,I1,0,0.95,2018,OCC,JAL,CIENEGA,EMMAN TABLEROS SA DE CV,EMM-115,115,457971200847,7.084,
OCCIDENTAL118,30712,I1,0,0.95,2018,OCC,JAL,CIENEGA,NESTLE MEXICO SA DE CV (CIENEGA),NES-115,115,456151000685,7.83,
OCCIDENTAL119,30716,AM,1,0.95,2026,OCC,JAL,CIENEGA,AMORTIGUAMIENTO OC,ADE-115,115/115,,11,
OCCIDENTAL120,306331,1,1,0.95,2018,OCC,JAL,CIENEGA,LA BARCA,BRC-115,115/23,1,20,5
OCCIDENTAL121,306331,OC,1,0.95,2020,OCC,JAL,CIENEGA,LA BARCA,BRC-115,115/23,2,30,
OCCIDENTAL122,352182,1,1,0.95,2018,OCC,JAL,CIENEGA,ATOTONILCO,ATO-115,115/23,1,9.4,2
OCCIDENTAL123,306211,1,1,0.95,2018,OCC,JAL,CIENEGA,JAMAY,JMY-115,115/23,1,20,3
OCCIDENTAL124,307171,1,1,0.95,2018,OCC,JAL,CIENEGA,CUITZEO,CZO-115,115/23,2,30,6
OCCIDENTAL125,307161,1,1,0.95,2018,OCC,JAL,CIENEGA,SAN ANDRES,ADE-115,115/23,1,20,5
OCCIDENTAL126,3084,OC,1,0.95,2022,OCC,JAL,CIENEGA,SAN ANDRES,ADE-115,115/23,2,30,
OCCIDENTAL127,307141,1,1,0.95,2018,OCC,JAL,CIENEGA,TOTOTLAN,TTO-115,115/23,1,30,5
OCCIDENTAL128,307131,1,1,0.95,2018,OCC,JAL,CIENEGA,PONCITLAN,PNC-115,115/23,1,30,5
OCCIDENTAL129,3719,OC,1,0.95,#N/D,OCC,JAL,CIENEGA,ATOTONILQUILLO,ATQ-115,115/23,1,9.4,
OCCIDENTAL130,30800,I1,0,0.95,2018,OCC,JAL,ZAPOTLAN,CEMEX MEXICO SA DE CV (ZAP),CMX-115,115,460950400219,30.127,
OCCIDENTAL131,30812,I1,0,0.95,2018,OCC,JAL,ZAPOTLAN,BIO PAPEL SAB DE CV (EMP DE CARTONES TITAN),ATE-115,115,461950400312,12.5,
OCCIDENTAL132,30806,AM,1,0.95,2025,OCC,JAL,ZAPOTLAN,AMORTIGUAMIENTO OC,SYL-115,115/115,,11,
OCCIDENTAL133,308193,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,GUZMAN,CGM-115,115/23,3,20,7
OCCIDENTAL134,308194,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,GUZMAN,CGM-115,115/23,4,20,7
OCCIDENTAL135,308061,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,SAYULA,SYL-115,115/23,1,20,5
OCCIDENTAL136,308062,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,SAYULA,SYL-115,115/23,2,9.4,5
OCCIDENTAL137,0,x,0,1,#N/D,OCC,JAL,ZAPOTLAN,TUXPAN,TUX-115,115/23,1,9.4,
OCCIDENTAL138,308132,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,TUXPAN,TUX-115,115/23,2,30,5
OCCIDENTAL139,308091,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,TAMAZULA,TAZ-115,115/23,1,9.4,5
OCCIDENTAL140,308092,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,TAMAZULA,TAZ-115,115/23,2,9.4,5
OCCIDENTAL141,308161,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,ZAPOTILTIC,ZTI-115,115/23,1,20,7
OCCIDENTAL142,308162,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,ZAPOTILTIC,ZTI-115,115/23,2,20,7
OCCIDENTAL143,3125,OC,1,0.95,2025,OCC,JAL,ZAPOTLAN,TECALITLAN (ANTES EL MIRADOR),TLT-115,115/23,1,20,
OCCIDENTAL144,3091,OC,1,0.95,2019,OCC,JAL,ZAPOTLAN,JUAN JOSE ARREOLA,JJA-115,115/23,1,30,
OCCIDENTAL145,308041,1,1,0.95,2018,OCC,JAL,ZAPOTLAN,JUAN RULFO,JRU-115,115/23,1,20,4
OCCIDENTAL146,3354,OC,1,0.95,2023,OCC,JAL,ZAPOTLAN,TOLIMAN,TLM-115,115/23,1,20,
OCCIDENTAL147,3030,OC,1,0.95,2023,OCC,JAL,ZAPOTLAN,TAPALPA,TPP-115,115/23,1,20,
OCCIDENTAL148,36983,OC,0,0.95,2020,OCC,JAL,VALLARTA,DESARROLLO MARINA VALLARTA (PARQUE VIDANTA),NPV-115,115,0,11.6,
OCCIDENTAL149,30432,AM,0,0.95,2027,OCC,JAL,VALLARTA,AMORTIGUAMIENTO OC,GYS-115,115/115,,11,
OCCIDENTAL150,30428,AM,0,0.95,2025,OCC,JAL,VALLARTA,AMORTIGUAMIENTO OC,FLA-115,115/115,,11,
OCCIDENTAL151,3127,OC,1,0.95,2034,OCC,JAL,VALLARTA,EL TUITO,ETU-115,115/34.5,1,20,
OCCIDENTAL152,304502,1,1,0.95,2018,OCC,JAL,VALLARTA,NOGALITO,NGT-115,115/34.5,2,9.4,4
OCCIDENTAL153,3092,OC,1,0.95,2032,OCC,JAL,VALLARTA,GUAYABITOS,GYS-115,115/23,3,30,
OCCIDENTAL154,304152,1,1,0.95,2018,OCC,JAL,VALLARTA,LAS VARAS,VRS-115,115/23,2,9.4,3
OCCIDENTAL155,,OC,1,0.95,2021,OCC,JAL,VALLARTA,EL MONTEON,MTN-115,115/23,1,30,
OCCIDENTAL156,304501,1,1,0.95,2018,OCC,JAL,VALLARTA,NOGALITO,NGT-115,115/13.8,1,20,4
OCCIDENTAL157,0,OC,1,0.95,2028,OCC,JAL,VALLARTA,NOGALITO,NGT-115,115/13.8,1,30,
OCCIDENTAL158,304471,1,1,0.95,2018,OCC,JAL,VALLARTA,VALLARTA,VRT-115,115/13.8,1,30,9
OCCIDENTAL159,304472,1,1,0.95,2018,OCC,JAL,VALLARTA,VALLARTA,VRT-115,115/13.8,2,30,9
OCCIDENTAL160,304321,1,1,0.95,2018,OCC,JAL,VALLARTA,GUAYABITOS,GYS-115,115/13.8,2,20,3
OCCIDENTAL161,304351,1,1,0.95,2018,OCC,JAL,VALLARTA,JARRETADERAS,JDA-115,115/13.8,1,30,13
OCCIDENTAL162,304352,1,1,0.95,2018,OCC,JAL,VALLARTA,JARRETADERAS,JDA-115,115/13.8,2,30,13
OCCIDENTAL163,0,1,0,1,2018,OCC,JAL,VALLARTA,BANDERAS,BAN-115,115/13.8,1,12.5,4
OCCIDENTAL164,304031,1,1,0.95,2019,OCC,JAL,VALLARTA,BANDERAS,BAN-115,115/13.8,1,20,4
OCCIDENTAL165,,OC,1,0.95,2031,OCC,JAL,VALLARTA,EL PORVENIR,PVR-115,115/13.8,1,30,
OCCIDENTAL166,304381,1,1,0.95,2018,OCC,JAL,VALLARTA,MUELLE,MLE-115,115/13.8,1,30,9
OCCIDENTAL167,304382,1,1,0.95,2018,OCC,JAL,VALLARTA,MUELLE,MLE-115,115/13.8,2,30,9
OCCIDENTAL168,304281,1,1,0.95,2018,OCC,JAL,VALLARTA,FLAMINGOS,FLA-115,115/13.8,1,20,7
OCCIDENTAL169,304282,1,1,0.95,2018,OCC,JAL,VALLARTA,FLAMINGOS,FLA-115,115/13.8,2,20,7
OCCIDENTAL170,3053,OC,1,0.95,2029,OCC,JAL,VALLARTA,HUANACAXTLE,HNC-115,115/13.8,1,30,
OCCIDENTAL171,0,x,0,1,2018,OCC,JAL,VALLARTA,TAMARINDOS,TMI-115,115/13.8,1,20,4
OCCIDENTAL172,304431,1,1,0.95,2019,OCC,JAL,VALLARTA,TAMARINDOS,TMI-115,115/13.8,1,30,4
OCCIDENTAL173,3087,OC,1,0.95,#N/D,OCC,JAL,VALLARTA,TAMARINDOS,TMI-115,115/13.8,2,30,
OCCIDENTAL174,304411,1,1,0.95,2018,OCC,JAL,VALLARTA,PITILLAL,PTL-115,115/13.8,1,30,4
OCCIDENTAL175,0,OC,1,0.95,2032,OCC,JAL,VALLARTA,PITILLAL,PTL-115,115/13.8,2,30,
OCCIDENTAL176,3049,OC,1,0.95,2026,OCC,JAL,VALLARTA,LAS PALMAS,LPM-115,115/13.8,1,30,
OCCIDENTAL177,3122,OC,1,0.95,2023,OCC,JAL,VALLARTA,CENTRO,CEN-115,115/13.8,1,30,
OCCIDENTAL178,,OC,1,0.95,#N/D,OCC,JAL,VALLARTA,CENTRO,CEN-115,115/13.8,2,30,
OCCIDENTAL179,304081,2,1,0.95,2018,OCC,JAL,VALLARTA,DESTILADERAS,DST-115,115/13.8,2,20,6
OCCIDENTAL180,304301,1,1,0.95,2018,OCC,JAL,VALLARTA,FLUVIAL,FLU-115,115/13.8,1,30,6
OCCIDENTAL181,3015,OC,1,0.95,2026,OCC,JAL,VALLARTA,FLUVIAL,FLU-115,115/13.8,2,30,
OCCIDENTAL182,3089,OC,1,0.95,2019,OCC,JAL,VALLARTA,SAN VICENTE,VTE-115,115/13.8,1,30,
OCCIDENTAL183,304151,1,1,0.95,2018,OCC,JAL,VALLARTA,LAS VARAS,VRS-115,115/13.8,1,10,3
OCCIDENTAL184,0,OC,1,0.95,2025,OCC,JAL,VALLARTA,VALLE DORADO,VLD-115,115/13.8,1,30,
