CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,3.358468576,3.403835963,3.44802223,3.495974732,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295,3.545622295
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,1.226236144,1.221780821,1.277482364,1.338760887,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759,1.363985759
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,6.306012663,6.323402764,6.390830002,6.472264344,6.556861316,6.623197656,6.757258592,6.907576867,7.054439628,7.229492217,7.368683928,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881,7.665171881
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),4.904253127,5.075062592,5.247476589,5.761054692,6.328277067,6.932495235,7.44457712,7.44457712,7.44457712,7.44457712,7.44457712,7.44457712,7.44457712,7.44457712,7.44457712,9.196694698,9.617268112,10.06903667,10.64374914,11.28150446,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.912653958,0.952431158,1.008103903,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067,1.052647067
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.128347467,0.540930111,0.656489971,0.742582246,0.828781491,0.905016744,1.05058984,1.200482082,1.351724848,1.510670403,1.664209768,1.84528775,2.031284639,2.224582401,2.431427488,2.582697618,2.582697618,2.582697618,2.582697618,2.582697618,2.582697618,2.582697618
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.50365429,3.032095089,4.582073076,6.177552963,7.767053479,9.507829842,11.30605569,13.17487631,15.15472982,17.11333343,19.32477187,21.67465257,24.38229877,27.34772225,30,32
OCCIDENTAL8,ZAPOPAN,30.80812125,30.87091303,27.68171102,27.99167369,28.3154551,28.56060771,29.09772368,29.70426911,30.29532664,31.00670441,31.56360558,32.58142738,33.59948048,34.65746894,35.8434159,36.84220793,38.24593042,39.7588049,41.73881878,43.94374885,45.95180585,47.50537634
OCCIDENTAL9,ZAPOPAN,32.8792098,33.00773376,30.15515188,30.47301009,30.80597729,31.05350601,31.61844514,32.25855968,32.88156149,33.63480888,34.22017205,35.30476967,36.38889061,37.51553787,38.77990507,39.84105097,41.33926681,42.95440717,45.07292629,47.432726,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,20.38787983,20.34035732,20.45748598,20.62207867,20.79910346,20.92075715,21.25824693,21.59421027,21.91847406,22.32909391,22.62798906,23.25599225,23.88156916,24.53304147,25.27234705,25.87733542,26.76404112,27.72336554,29.00356639,30.4339475,31.72224509,33.873988
OCCIDENTAL11,TUZANIA,46.60369042,47.57686033,26.4004572,27.16463613,27.94068058,28.63662322,29.62617787,30.69278129,31.75031549,32.9421381,33.9772795,35.51994228,37.0800685,38.7014107,40.48435539,42.07327331,44.14403521,46.36576427,48.32,49.32,50.32,51.34027575
OCCIDENTAL12,TUZANIA,0,0,21.89146822,22.06759816,22.25703162,22.38721272,22.74835909,23.16521165,23.57141105,24.07258256,24.45534892,25.19643495,25.93841298,26.71211363,27.58536637,28.31581417,29.35874628,30.48653648,31.42510768,31.73935876,32.05675235,32.37731987
OCCIDENTAL13,ZOQUIPAN,27.79791402,27.68177409,27.78782521,27.95592675,28.13830104,28.24330589,20.0028169,20.47019715,20.93225433,21.40713942,21.85633156,22.63130614,23.41427456,24.23326966,25.15061738,25.94566233,27.03576821,28.21463836,29.73864297,31.43901545,33.01529466,33.69627323
OCCIDENTAL14,ZOQUIPAN,23.67970453,23.8404223,24.11357804,24.4394699,24.77724262,25.04591195,13.9856179,14.2547657,14.51799567,14.84041445,15.09052736,15.56258567,16.03625718,16.53063816,17.05685322,17.49408688,18.12362444,18.80460368,19.70596487,20.71265767,21.5834724,21.78230713
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,20.23655906,20.66844589,21.04897142,21.58881677,21.9451343,22.62111001,23.29602645,23.99741678,24.7860814,25.44409606,26.38038886,27.39019934,28.71963452,30.2011431,31.65527426,32.03243128
OCCIDENTAL16,ALAMEDA,13.86554222,14.04038729,14.3241057,14.63840665,14.95942673,15.23808051,15.6727932,16.14699095,16.61504725,17.15178151,17.60550801,18.32005571,19.04038684,19.78898,20.61678262,21.342638,22.30944761,23.34813318,24.67130159,26.13986729,27.50349028,29.64619951
OCCIDENTAL17,ALAMEDA,18.3799048,18.50600007,18.77730339,19.08931346,19.41041192,19.67706399,20.14505587,20.66249623,21.17066892,21.764701,22.25191571,23.06653889,23.88506344,24.73570002,25.68172684,26.49742762,27.6085771,28.80394526,30.34445619,32.05671547,33.63340085,36.15091785
OCCIDENTAL18,MOJONERA,12.24952024,12.40759422,12.71287783,13.04497631,13.33200362,13.63194486,14.07159407,14.54740318,15.01844516,15.55246218,16.06468999,16.76374179,17.46988242,18.25956936,19.06945908,19.84480961,20.8485547,21.92502736,23.27547755,24.77142244,26.18798218,28.36285285
OCCIDENTAL19,MOJONERA,18.17622949,18.57538032,16.66450148,17.02505434,17.39343846,17.71258976,18.21313316,18.75949507,19.29865002,19.85982642,20.32386062,21.08743054,21.85531593,22.65332733,23.47663359,24.17917949,21.21375386,22.14776295,23.34816271,24.68194036,25.91252949,27.87000869
OCCIDENTAL20,MEXICO,26.31000477,26.71574953,27.23697291,27.72614704,28.22840152,28.38183301,28.91558691,29.51833568,30.1056935,30.8126184,31.36603365,32.37748441,33.38916503,34.44053103,35.2,35.6,36,36.5,31.9,32.1,32.30433604,32.51305513
OCCIDENTAL21,MEXICO,25.99616773,26.03420062,26.36727213,26.7577979,27.07303334,27.40088222,28.00901845,28.68529515,29.34804246,30.12903345,30.76145133,31.93852828,33.02805158,34.25708863,35.52145666,36.5,37.1,37.7,31.3,31.6,31.90939948,32.22834568
OCCIDENTAL22,EXPERIENCIA,13.65668696,13.65528298,13.68025365,13.81809696,13.96281248,14.06883715,14.31865322,14.60242657,14.87835917,15.21311421,15.55675485,16.04274337,16.52824261,17.03278604,17.59956024,18.16738535,18.84210901,26.48161292,27.119,27.319,27.52050943,27.72350523
OCCIDENTAL23,EXPERIENCIA,23.2532778,23.46691421,23.78123193,24.22969762,24.68952421,25.07981344,25.72682218,26.52082668,27.22122532,28.03290033,28.70778896,29.89318197,31.000213,32.15067612,33.51937149,34.62936526,36.22372336,31.00264799,31.9,32.6,33.3156051,34.04691849
