CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,5.767592286,5.866129687,5.969882022,6.081795176,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917,6.196035917
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,2.110049085,2.109801142,2.216234885,2.333628406,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775,2.388341775
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,7.488907256,7.53605801,7.651794667,7.786281522,7.923696007,8.049457689,8.254716829,8.478842289,8.699186851,8.947434363,9.177743644,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141,9.569113141
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),5.523936979,5.736500222,5.958936748,6.573369984,7.253197725,7.990992251,8.625492415,8.625492415,8.625492415,8.625492415,8.625492415,8.625492415,8.625492415,8.625492415,8.625492415,10.56782681,10.76511225,10.9623977,11.15968314,11.35696859,11.55425403,11.55425403
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.907853617,0.950764715,1.011014563,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776,1.060724776
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.108935163,0.460735544,0.561760645,0.638462787,0.715795598,0.786090762,0.917237938,1.053134125,1.191301278,1.336218929,1.481396225,1.646383719,1.816482111,1.993019385,2.186702248,2.334104472,2.334104472,2.334104472,2.334104472,2.334104472,2.334104472,2.334104472
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.473466145,2.985480036,4.532508975,6.132926045,7.760019513,9.521200614,11.34788203,13.24807943,15.29747945,17.35899955,19.69953107,22.19624598,25.13910412,28,30,32
OCCIDENTAL8,ZAPOPAN,27.06661471,27.21748389,24.51907515,24.91195635,25.31398194,25.67860709,26.29636796,26.97334541,27.63738126,28.38908845,29.08290028,30.09019558,31.10146475,32.14014326,33.36765298,34.4651615,35.95599669,37.54959823,39.68806186,42.04156948,44.31837158,47.43508428
OCCIDENTAL9,ZAPOPAN,31.2798121,31.51289091,28.92322477,29.36759357,29.82263057,30.2335188,30.94220793,31.72012965,32.48237095,33.34715908,34.14344462,35.30712252,36.47465009,37.67351836,39.09282439,40.35891599,42.08457145,43.92924515,46.40978215,48.5,49,49.50515464
OCCIDENTAL10,GUADALAJARA NORTE,29.54916225,29.58431104,29.89288271,30.27720551,30.67509501,31.0302874,31.69338176,32.34876095,32.98647798,33.72650362,34.39548584,35.431877,36.46830022,37.53243492,37.90586861,38.19016262,38.47658884,38.76516326,39.05590198,39.34882125,39.6439374,39.94126694
OCCIDENTAL11,TUZANIA,48.22563652,49.40640034,27.54301865,28.47552852,29.42136609,30.32597394,31.53561556,32.82775032,34.11600971,35.52520203,36.87471253,38.6381291,40.42757974,42.27335291,44.32,45.32,46.32,47.32,48.32,49.32,50.32,51.34027575
OCCIDENTAL12,TUZANIA,0,0,22.83888923,23.13252119,23.43651844,23.70789406,24.21451428,24.77656805,25.32770071,25.96016555,26.54079357,27.40835271,28.2800788,29.17750505,30.19891081,30.50089992,30.80590891,31.113968,31.42510768,31.73935876,32.05675235,32.37731987
OCCIDENTAL13,ZOQUIPAN,21.15746832,21.14341754,21.32300844,21.55438459,21.79302703,21.9989683,15.66068227,16.10351694,16.54321901,16.97998266,17.44661361,18.10703285,18.77637514,19.46909421,20.28372366,21.02723635,22.01950652,23.08496536,24.49760625,26.05754641,27.58539169,29.65073801
OCCIDENTAL14,ZOQUIPAN,22.71756479,22.9524587,23.32327761,23.75130735,24.18837336,24.58994957,13.80178259,14.13490184,14.46254366,14.83742849,15.18351399,15.69471485,16.20944196,16.74007331,17.3393156,17.87074747,18.60578189,19.39335414,20.46134657,21.38660634,21.5834724,21.78230713
OCCIDENTAL15,ZOQUIPAN,0,0,0,0,0,0,17.9148082,18.38495226,18.81008985,19.36258872,19.80742823,20.46480247,21.12364561,21.79988493,22.60283329,23.31634305,24.29439204,25.33995897,26.75083774,28.30374737,29.90653052,31.99045747
OCCIDENTAL16,ALAMEDA,10.92830244,11.10515718,11.38218901,11.68745353,11.99772747,12.29083544,12.7066269,13.15390397,13.59784082,14.08809257,14.55280768,15.17849864,15.81143075,16.46347457,17.21806261,17.91141468,18.81577193,19.78204826,21.04548415,22.43532252,23.79666757,25.62777951
OCCIDENTAL17,ALAMEDA,12.83665341,12.97032599,13.22160594,13.50545153,13.79467596,14.06384748,14.47255007,14.91552561,15.35308528,15.8412109,16.29890185,16.93468683,17.5757761,18.23538776,19.00554478,19.70508056,20.63336008,21.62538169,22.93712215,24.38039125,25.78646596,27.69197876
OCCIDENTAL18,MOJONERA,17.31588821,17.60123129,18.11807259,18.68010144,19.17738161,19.72054018,20.46147885,21.25486673,22.04464914,22.91141758,23.81663623,24.91052237,26.01927736,27.24573098,28.5635124,29.87023044,31.53690156,33.31724518,35.61027314,37.4,38.21748634,39.05284123
OCCIDENTAL19,MOJONERA,19.33838648,19.83279518,17.87521165,18.3491177,18.83085663,19.2856284,19.93283756,20.62931465,21.32042671,22.02008542,22.67801439,23.58447869,24.49926648,25.44079498,26.46670049,27.39201242,24.15190206,25.33083766,26.88562644,28.59623302,30.26486441,32.52217977
OCCIDENTAL20,MEXICO,19.41600442,19.78500083,20.26470111,20.72710746,21.19792813,21.4345647,21.95022488,22.5153146,23.06960165,23.69707013,24.27621192,25.11702607,25.96115731,26.82816781,27.85280035,28.76891769,30.01335448,31.42968159,28.71745579,30.28197656,31.78337227,32.51305513
OCCIDENTAL21,MEXICO,17.86626673,17.95554139,18.26972931,18.62880917,18.93344293,19.27189058,19.80114935,20.37656728,20.94383203,21.57927231,22.17245005,23.074142,23.91591448,24.85176132,25.86799646,26.86015607,28.16618893,29.56178191,25.65911997,27.1461604,28.58906342,30.57667713
OCCIDENTAL22,EXPERIENCIA,14.07121148,14.11941211,14.21093698,14.42263501,14.6395334,14.83472946,15.17596561,15.55100224,15.91819053,16.33546022,16.81076682,17.37604569,17.94288896,18.52482297,19.119,19.419,19.619,26.819,27.119,27.319,27.52050943,27.72350523
OCCIDENTAL23,EXPERIENCIA,23.33022795,23.6276518,24.05534438,24.62595253,25.20668397,25.75101762,26.55149465,27.50230389,28.35926669,29.31095359,30.20764909,31.52776073,32.77019567,34.04921879,35.63511886,36.9,37.6,31.3,31.9,32.6,33.3156051,34.04691849
OCCIDENTAL24,PINAR,26.09427163,17.53893001,18.03239165,18.57075897,19.11740313,19.63693916,20.35314314,21.12100908,21.88477168,22.72441154,23.52419137,18.79614797,19.74672027,20.72813733,21.84644116,22.89480923,24.22158227,25.63872169,27.45414772,29.45044885,30.97310026,31.68928625
OCCIDENTAL25,PINAR,0,8.813497705,9.02553369,9.25993199,9.498254859,9.653004402,9.973875451,10.31932603,10.66201818,11.04087928,11.47408852,17.52156797,18.28897225,19.00052073,19.91002757,20.75050666,21.83743301,22.99866955,24.60123924,26.26629291,27.50943396,28.02847989
OCCIDENTAL26,ACUEDUCTO,14.96862457,15.30345451,15.77557707,16.2871168,16.80614976,17.30153193,17.97067561,18.49409798,19.01014991,19.58811443,20.12774758,20.441,20.741,21.041,21.341,21.641,21.941,22.241,22.541,22.841,23.141,23.44494028
OCCIDENTAL27,ACUEDUCTO,10.14314868,10.44640759,10.84276479,11.26644789,11.76143602,12.17468001,12.71102592,13.34923693,13.92049443,14.54233371,15.21106486,15.98278303,16.84037212,17.65151617,18.65480518,19.52230594,25.55979469,26.81701228,28.47286178,30.29461391,32.0727851,34.10755287
OCCIDENTAL28,ANDARES,16.64008674,16.93834297,17.4778797,18.06114063,18.65280613,19.21829511,20.06738499,20.87933532,21.78125636,22.7625414,23.80293244,25.01907421,26.35483446,27.3,28.1,0,0,0,0,0,0,0
OCCIDENTAL29,ANDARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,29.8,30.7,31.6,32.6,33.63164557,34.69593815
OCCIDENTAL30,ANDARES,9.142767254,9.401682157,9.744501109,10.11183453,10.48411596,10.92721082,11.48172086,12.06905918,12.65782057,13.29445603,14.00263578,14.87483708,15.76567107,16.68687861,17.82419511,18.60425,19.30425,20.00425,20.80425,21.60425,22.43690306,23.30164755
OCCIDENTAL31,AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32008349,11.26512165,12.21881795,13.43663709
OCCIDENTAL32,MIRASIERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCIDENTAL33,UVM EDUCACION SC,1.023508039,1.065308692,1.119050625,1.178326513,1.241091219,1.305183305,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472,1.429894472
OCCIDENTAL34,PACTIV FOODSERVICE MEX S DE RL DE CV (JAGUAR),4.806127388,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934,4.712873934
OCCIDENTAL35,FLEXTRONICS TECHNOLOGIES S DE RL DE CV,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799,7.802822799
OCCIDENTAL36,CEMEX MEXICO SA DE CV (GUADALAJARA),5.712806913,5.889491486,6.118615732,6.363177865,6.610933423,6.849589553,7.157583074,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337,7.418688337
OCCIDENTAL37,PRAXAIR MEXICO S DE RL DE CV,9.638253774,9.819736563,9.966195629,10.49410303,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066,11.17135066
OCCIDENTAL38,MOTFOUR SAPI DE CV(KODAK),0.996639852,1.267409747,1.521539577,1.630109015,2.084105531,2.658910904,3.425721237,4.423223265,5.704250682,7.378097039,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153,8.277282153
OCCIDENTAL39,ALMIDONES MEXICANOS SA DE CV,9.816585,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477,9.659923477
OCCIDENTAL40,CERVECERIA MODELO GUAD S DE RL DE CV,1.526173999,1.584901767,1.657648593,1.73461258,1.812508337,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653,1.960569653
OCCIDENTAL41,VITRO VIGUSA S. R. L. DE C.V. (VIDRIERA GUADALAJARA SA DE CV),7.47468658,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377,7.494649377
OCCIDENTAL42,PM CIGATAM PS S DE RL DE CV,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897,4.070291897
OCCIDENTAL43,SIEMENS SA DE CV,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955,1.155041955
OCCIDENTAL44,PROD FARMACEUTICOS COLLINS SA DE CV,1.385333233,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869,1.447193869
OCCIDENTAL45,FIDEICOMISO F--00291,0.109300528,0.121890455,0.140233735,0.161724925,0.186562157,0.20553924,0.228638226,0.254791855,0.283668733,0.316660922,0.352591818,0.396563347,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445,0.446709445
OCCIDENTAL46,TECHNICOLOR MEXICANA S DE RL DE CV,9.168248121,9.236047826,9.493527378,9.668744047,9.849877413,10.01707041,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637,10.16740637
OCCIDENTAL47,BELTICOS SA DE CV 684-1260,1.684604165,1.836899808,2.021450534,2.229884765,2.460502777,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403,2.640714403
OCCIDENTAL48,ACEITES GRASAS Y DERIVADOS SA DE CV (AGYDSA),5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511,5.710166511
OCCIDENTAL49,CONTINENTAL AUTOMOTIVE SA DE CV (PERIFERICO),3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472,3.341880472
OCCIDENTAL50,FERRO PIEZAS ALANISA SA DE CV,2.360552171,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935,2.461270935
OCCIDENTAL51,LIQUIMEX SA DE CV (GUADALAJARA),1.606390352,1.786569747,1.98160589,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199,2.182035199
OCCIDENTAL52,LABORATORIOS PISA SA DE CV,6.899841942,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863,7.083256863
OCCIDENTAL53,CONTINENTAL AUTOMOTIVE SA DE CV (TIJERA),4.595377975,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378,4.735861378
OCCIDENTAL54,AMORTIGUAMIENTO OC,0,0,0,0,0,0,0.343958939,1.045374421,1.763412282,2.505371976,3.260631781,4.074737063,4.91956342,5.798566396,6.74516735,7.699184585,8.779078586,9.930990305,11.28529437,12.77204841,14.30720363,15.5
OCCIDENTAL55,AMORTIGUAMIENTO OC,0,0,0,0,0,0,0.343958939,1.045374421,1.763412282,2.505371976,3.260631781,4.074737063,4.91956342,5.798566396,6.74516735,7.699184585,8.779078586,9.930990305,11.28529437,12.77204841,14.30720363,15.5
OCCIDENTAL56,NINOS HEROES,21.17056708,21.2377213,21.49870626,21.81216335,22.04896656,22.25266283,22.58871761,23.05755747,23.51254824,24.03914339,24.51371883,25.24867056,25.98204568,26.73346299,27.63649022,28.2,28.4,28.6,28.8,29,29.20137457,29.40414748
OCCIDENTAL57,NINOS HEROES,24.91170723,24.85068945,25.01763575,25.24519764,25.48101172,25.6783885,26.12675177,26.6298996,27.11608054,27.68379449,28.1905468,28.99536494,29.7966269,30.61684644,31.60874296,32.46924605,33.6909968,34.99755791,35.2,35.4,35.6,35.80112994
OCCIDENTAL58,GUADALAJARA I,48.72918109,48.74726043,49.21137183,49.79516002,50.39602785,50.92150405,51.94641993,47.77517583,48.81751278,50.01116645,51.09927167,52.73359355,54.3690462,55.2,55.7,56.2,56.7,54.2,54.7,55.2,55.7,56.20429553
OCCIDENTAL59,COLON,17.28328903,17.61287341,17.94074674,18.39308578,18.93371041,19.12470398,19.50319158,19.92364718,20.33252503,20.80374131,21.23036136,21.88302904,22.53502883,23.2950838,24.09821963,24.80344597,25.7871992,26.2,26.4,26.6,26.80151515,27.00455693
OCCIDENTAL60,COLON,18.96875009,19.09823408,19.40144875,19.75223711,20.11050952,20.43925136,20.96997459,21.54885259,22.11835651,22.75905705,23.35438117,24.20277665,25.05606922,25.93312486,26.96443328,27.89258626,29.14119958,30.47574595,32.25579395,33.1,33.5,33.90483384
OCCIDENTAL61,BAJIO (ANTES PRIMAVERA),0,0,15.4546478,15.67582157,15.87292551,16.04632055,16.37719862,16.74363767,17.10067894,17.51050678,18.67444797,19.25574754,19.83677078,20.4324885,21.14512009,21.7722223,22.64424498,23.6709106,24.94421989,25.5,25.70158103,25.90475558
OCCIDENTAL62,FRESNO,15.56593492,15.93399074,16.50784168,17.06001406,17.6835143,18.28249108,19.06605062,19.57558736,20.0761942,20.70778088,21.23178891,22.05440163,22.81305384,23.66469496,24.65958327,25.56262935,26.76217792,28.04410972,29.74029557,31.69486687,33.61775006,36.20423409
OCCIDENTAL63,LAS PINTAS,15.95198518,16.09024988,16.30525633,16.56011476,16.89081111,17.12693822,17.60250207,18.11922392,18.55633817,19.12564012,19.65765148,20.40375757,21.15536738,21.92839844,22.83338478,23.65254771,24.74517822,25.91290063,27.46205614,29.26386897,30.60844595,31.12548051
OCCIDENTAL64,LAS PINTAS,18.36750584,18.37665128,20.24834378,20.64545673,20.79489835,20.99812856,21.4934554,21.94949985,22.39260765,22.99399503,23.45736613,24.26317912,25.07191062,25.80544215,26.7852917,27.1,27.4,27.7,27.9,28.2,28.50322581,28.80971211
OCCIDENTAL65,HIGUERILLAS,20.94661519,21.0081734,21.26150776,21.56671978,21.87964061,22.1600734,22.74151553,23.2912407,23.82890732,24.52758306,25.09015732,26.01130451,26.84681571,27.797637,28.9143205,29.82312921,30.9,31.3,31.7,32.1,32.50504732,32.91520564
OCCIDENTAL66,HIGUERILLAS,23.29931048,23.42994086,23.76547618,24.07755046,24.47993319,24.84621141,25.37466891,26.04261949,26.69843852,27.43933944,28.12467267,29.11366373,30.10714043,31.12778364,32.42767883,33.50870221,34.7,35.2,35.6,36,36.40449438,36.81353364
OCCIDENTAL67,MIRAVALLE,23.92607771,14.01560696,14.15716296,14.33317383,14.51414837,14.67344706,14.97676451,15.31262001,15.63989957,16.01547655,16.357071,16.87327667,17.38954434,17.91899537,18.55131827,19.10894628,19.88192299,20.70835641,21.83109399,23.06700246,24.25567827,24.683
OCCIDENTAL68,MIRAVALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCIDENTAL69,MIRAVALLE,0,10.2662305,10.37330982,10.50667599,10.64475003,10.76800749,10.99811187,11.2533939,11.50371561,11.79097799,12.05469635,12.44873739,12.84467104,13.25227758,13.73808915,14.17082149,14.76572963,15.40321459,16.26450689,17.21417379,18.13291082,18.48587911
OCCIDENTAL70,EL SOL,12.10797913,12.36242875,12.73872584,13.15799849,13.59489354,13.95655349,14.46649961,10.08194594,10.45927236,10.87966833,11.28819736,11.83030975,12.38785999,12.9707867,13.64597638,14.28485393,15.10560696,15.99179175,13.10728788,14.07863702,15.05027537,16.3357579
OCCIDENTAL71,EL SOL,28.83726141,28.99541976,29.41765941,29.91191106,30.41727635,30.87780558,31.64300684,20.88755464,21.56898284,22.323259,23.03645665,24.00368752,24.98137861,25.98829309,27.15599373,28.22603254,29.185,29.685,23.385,23.885,24.385,24.89546682
OCCIDENTAL72,EL SOL,22.52841224,22.92151181,17.47495958,17.89409821,18.32061963,18.72070731,19.30706443,19.94015031,20.56703277,21.26275823,21.91873766,22.81563364,23.72147172,24.65407703,25.73811749,26.72850054,28.0313839,29.42360203,20.31031343,21.1,21.6,22.11184834
OCCIDENTAL73,SAN AGUSTIN,15.82680269,11.31407822,12.02478926,12.76668788,13.51648777,14.24882141,14.9126601,15.61775658,16.32330121,17.08912642,17.82863847,18.77131553,19.73046931,20.72085045,21.84852157,22.90669703,24.24391874,25.67219486,27.50001865,29.50991452,30.55171832,31.28575903
OCCIDENTAL74,SAN AGUSTIN,0,5.433049303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
