CLAVE,NOMBRE SUBESTACION,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OCCIDENTAL1,JABIL CIRCUIT DE MEXICO S DE RL DE CV,5.360797039,5.417382848,5.478324157,5.54724473,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095,5.616321095
OCCIDENTAL2,NYPRO KANAAK GUAD SA DE CV,2.012850091,1.999693579,2.08728535,2.184546531,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454,2.221869454
OCCIDENTAL3,PARQUE DE TECNOLOGIA ELEC SA DE CV,9.826549252,9.8249392,9.912724935,10.02590093,10.13943087,10.2528424,10.45000487,10.66572506,10.88985297,11.14889107,11.42699334,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387,11.88206387
OCCIDENTAL4,TRATADORA DE AGUAS DE ZAPOPAN (RENOVA ATLATEC),3.981761445,4.108436626,4.240747964,4.649704175,5.098697287,5.591422481,5.998492903,5.998492903,5.998492903,5.998492903,5.998492903,5.998492903,5.998492903,5.998492903,5.998492903,7.480932087,7.823575444,8.183951269,8.644130042,9.131252566,9.611475984,9.611475984
OCCIDENTAL5,UNIVERSIDAD AUTONOMA DE GUADALAJARA,0.761511876,0.792386311,0.837269804,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071,0.87312071
OCCIDENTAL6,EGISMEX S. DE R.L. DE C.V. (LINEA 3 DEL TREN LIGERO TUZANIA),0.099902395,0.419819476,0.508635051,0.574584786,0.640176935,0.699802644,0.811561711,0.925897132,1.042293887,1.163686503,1.289117522,1.428816584,1.573556087,1.722341192,1.887017714,2.014112575,2.014112575,2.014112575,2.014112575,2.014112575,2.014112575,2.014112575
OCCIDENTAL7,AMORTIGUAMIENTO OC,0,0,0,0,0,0,1.36111319,2.740360924,4.140204539,5.576229588,7.050154468,8.626838674,10.26314479,11.95295076,13.78226973,15.63877327,17.66086845,19.79116619,22.24566734,24.86729949,27.56589457,30.69464528
OCCIDENTAL8,ZAPOPAN,27.8508286,27.82628379,24.90895049,25.15490826,25.40199555,25.64901662,26.10547969,26.60787782,27.13075273,27.73998334,28.39588199,29.29994468,30.22931565,31.16390303,32.30787221,33.36876538,34.64250819,35.98147647,37.74308212,39.60326447,41.41485391,43.69812908
OCCIDENTAL9,ZAPOPAN,30.19897287,30.22869078,27.56905717,27.8232028,28.07871153,28.33425577,28.82113414,29.35852513,29.91827377,30.57295704,31.27871035,32.25729687,33.26308024,34.27394329,35.514328,36.66259236,38.04387642,39.49583347,41.41053654,43.43200329,45.39880753,47.88071108
OCCIDENTAL10,GUADALAJARA NORTE,20.07803208,19.97287053,20.05353472,20.18842709,20.32661576,20.4671252,20.77668633,21.07195673,21.38319974,21.76195262,22.17639191,22.78283375,23.40640878,24.03159342,24.81536772,25.53231639,26.40900016,27.33177162,28.57095681,29.87915714,31.14538042,32.75672684
